K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9,K=10,K=11,K=12,K=13,K=14,K=15
6.08,8.33,9.8,10.88,11.73,12.43,13.03,13.54,13.99,14.4,14.76,15.09,15.39,15.67
4.5,5.91,6.82,7.5,8.04,8.48,8.85,9.18,9.46,9.72,9.95,10.15,10.35,10.52
3.93,5.04,5.76,6.29,6.71,7.05,7.35,7.6,7.83,8.03,8.21,8.37,8.52,8.66
3.64,4.6,5.22,5.67,6.03,6.33,6.58,6.8,6.99,7.17,7.32,7.47,7.6,7.72
3.46,4.34,4.9,5.3,5.63,5.9,6.12,6.32,6.49,6.65,6.79,6.92,7.03,7.14
3.34,4.16,4.68,5.06,5.36,5.61,5.82,6,6.16,6.3,6.43,6.55,6.66,6.76
3.26,4.04,4.53,4.89,5.17,5.4,5.6,5.77,5.92,6.05,6.18,6.29,6.39,6.48
3.2,3.95,4.41,4.76,5.02,5.24,5.43,5.59,5.74,5.87,5.98,6.09,6.19,6.28
3.15,3.88,4.33,4.65,4.91,5.12,5.3,5.46,5.6,5.72,5.83,5.93,6.03,6.11
3.11,3.82,4.26,4.57,4.82,5.03,5.2,5.35,5.49,5.61,5.71,5.81,5.9,5.98
3.08,3.77,4.2,4.51,4.75,4.95,5.12,5.27,5.39,5.51,5.61,5.71,5.8,5.88
3.06,3.73,4.15,4.45,4.69,4.88,5.05,5.19,5.32,5.43,5.53,5.63,5.71,5.79
3.03,3.7,4.11,4.41,4.64,4.83,4.99,5.13,5.25,5.36,5.46,5.55,5.64,5.71
3.01,3.67,4.08,4.37,4.59,4.78,4.94,5.08,5.2,5.31,5.4,5.49,5.57,5.65
3,3.65,4.05,4.33,4.56,4.74,4.9,5.03,5.15,5.26,5.35,5.44,5.52,5.59
2.98,3.63,4.02,4.3,4.52,4.7,4.86,4.99,5.11,5.21,5.31,5.39,5.47,5.54
2.97,3.61,4,4.28,4.49,4.67,4.82,4.96,5.07,5.17,5.27,5.35,5.43,5.5
2.96,3.59,3.98,4.25,4.47,4.65,4.79,4.92,5.04,5.14,5.23,5.31,5.39,5.46
2.95,3.58,3.96,4.23,4.45,4.62,4.77,4.9,5.01,5.11,5.2,5.28,5.36,5.43
2.94,3.56,3.94,4.21,4.42,4.6,4.74,4.87,4.98,5.08,5.17,5.25,5.33,5.4
2.93,3.55,3.93,4.2,4.41,4.58,4.72,4.85,4.96,5.06,5.14,5.23,5.3,5.37
2.93,3.54,3.91,4.18,4.39,4.56,4.7,4.83,4.94,5.03,5.12,5.2,5.27,5.34
2.92,3.53,3.9,4.17,4.37,4.54,4.68,4.81,4.92,5.01,5.1,5.18,5.25,5.32
2.91,3.52,3.89,4.15,4.36,4.53,4.67,4.79,4.9,4.99,5.08,5.16,5.23,5.3
2.91,3.51,3.88,4.14,4.35,4.51,4.65,4.77,4.88,4.98,5.06,5.14,5.21,5.28
2.9,3.51,3.87,4.13,4.33,4.5,4.64,4.76,4.86,4.96,5.04,5.12,5.19,5.26
2.9,3.5,3.86,4.12,4.32,4.49,4.62,4.74,4.85,4.94,5.03,5.11,5.18,5.24
2.89,3.49,3.85,4.11,4.31,4.47,4.61,4.73,4.84,4.93,5.01,5.09,5.16,5.23
2.89,3.49,3.85,4.1,4.3,4.46,4.6,4.72,4.82,4.92,5,5.08,5.15,5.21
2.88,3.48,3.84,4.09,4.29,4.45,4.59,4.71,4.81,4.9,4.99,5.06,5.13,5.2
2.88,3.48,3.83,4.09,4.28,4.45,4.58,4.7,4.8,4.89,4.98,5.05,5.12,5.18
2.88,3.47,3.83,4.08,4.28,4.44,4.57,4.69,4.79,4.88,4.97,5.04,5.11,5.17
2.87,3.47,3.82,4.07,4.27,4.43,4.56,4.68,4.78,4.87,4.96,5.03,5.1,5.16
2.87,3.46,3.81,4.07,4.26,4.42,4.56,4.67,4.77,4.86,4.95,5.02,5.09,5.15
2.87,3.46,3.81,4.06,4.25,4.41,4.55,4.66,4.76,4.85,4.94,5.01,5.08,5.14
2.87,3.45,3.8,4.05,4.25,4.41,4.54,4.66,4.76,4.85,4.93,5,5.07,5.13
2.86,3.45,3.8,4.05,4.24,4.4,4.53,4.65,4.75,4.84,4.92,4.99,5.06,5.12
2.86,3.45,3.79,4.04,4.24,4.39,4.53,4.64,4.74,4.83,4.91,4.98,5.05,5.11
2.86,3.44,3.79,4.04,4.23,4.39,4.52,4.63,4.73,4.82,4.9,4.98,5.04,5.11
2.86,3.44,3.79,4.03,4.23,4.38,4.51,4.63,4.73,4.82,4.9,4.97,5.04,5.1
2.85,3.44,3.78,4.03,4.22,4.38,4.51,4.62,4.72,4.81,4.89,4.96,5.03,5.09
2.85,3.43,3.78,4.03,4.22,4.37,4.5,4.62,4.72,4.8,4.88,4.96,5.02,5.08
2.85,3.43,3.78,4.02,4.21,4.37,4.5,4.61,4.71,4.8,4.88,4.95,5.02,5.08
2.85,3.43,3.77,4.02,4.21,4.36,4.49,4.61,4.7,4.79,4.87,4.94,5.01,5.07
2.85,3.42,3.77,4.01,4.2,4.36,4.49,4.6,4.7,4.79,4.87,4.94,5,5.06
2.85,3.42,3.77,4.01,4.2,4.36,4.48,4.6,4.69,4.78,4.86,4.93,5,5.06
2.84,3.42,3.76,4.01,4.2,4.35,4.48,4.59,4.69,4.78,4.86,4.93,4.99,5.05
2.84,3.42,3.76,4,4.19,4.35,4.48,4.59,4.69,4.77,4.85,4.92,4.99,5.05
2.84,3.42,3.76,4,4.19,4.34,4.47,4.58,4.68,4.77,4.85,4.92,4.98,5.04
